player_id,name,country_of_citizenship,sub_position,position,foot,height_in_cm,current_club_name,current_club_id_y
342229,Kylian Mbappe,France,Centre-Forward,Attack,right,178,Paris Saint-Germain,583
28003,Lionel Messi,Argentina,Right Winger,Attack,left,170,Paris Saint-Germain,583
418560,Erling Haaland,Norway,Centre-Forward,Attack,left,195,Manchester City,281
68290,Neymar,Brazil,Left Winger,Attack,right,175,Paris Saint-Germain,583
134425,Raheem Sterling,England,Left Winger,Attack,right,170,Chelsea FC,631
50202,Eden Hazard,Belgium,Left Winger,Attack,right,175,Real Madrid,418
200512,Sadio Mane,Senegal,Left Winger,Attack,right,174,Bayern Munich,27
88755,Kevin De Bruyne,Belgium,Attacking Midfield,Midfield,right,181,Manchester City,281
148455,Mohamed Salah,Egypt,Right Winger,Attack,left,175,Liverpool FC,31
371998,Vinicius Junior,Brazil,Left Winger,Attack,right,176,Real Madrid,418
125781,Antoine Griezmann,France,Second Striker,Attack,left,176,Atletico de Madrid,13
80444,Philippe Coutinho,Brazil,Left Winger,Attack,right,172,Aston Villa,405
132098,Harry Kane,England,Centre-Forward,Attack,right,188,Tottenham Hotspur,148
401173,Jadon Sancho,England,Left Winger,Attack,right,180,Manchester United,985
8198,Cristiano Ronaldo,Portugal,Centre-Forward,Attack,right,187,Manchester United,985
288230,Ousmane Dembele,France,Right Winger,Attack,both,178,FC Barcelona,131
401923,Victor Osimhen,Nigeria,Centre-Forward,Attack,right,186,SSC Napoli,6195
433177,Bukayo Saka,England,Right Winger,Attack,left,178,Arsenal FC,11
581678,Jude Bellingham,England,Central Midfield,Midfield,right,186,Borussia Dortmund,16
314353,Trent Alexander-Arnold,England,Right-Back,Defender,right,180,Liverpool FC,31
580195,Jamal Musiala,Germany,Attacking Midfield,Midfield,right,184,Bayern Munich,27
406635,Phil Foden,England,Left Winger,Attack,left,171,Manchester City,281
206050,Paulo Dybala,Argentina,Second Striker,Attack,left,177,AS Roma,12
192565,Leroy Sane,Germany,Right Winger,Attack,left,183,Bayern Munich,27
139208,Virgil van Dijk,Netherlands,Centre-Back,Defender,right,193,Liverpool FC,31
96341,Romelu Lukaku,Belgium,Centre-Forward,Attack,left,191,Inter Milan,46
121483,Jan Oblak,Slovenia,Goalkeeper,Goalkeeper,right,188,Atletico de Madrid,13
203460,Jack Grealish,England,Left Winger,Attack,right,180,Manchester City,281
412363,Rodrygo,Brazil,Right Winger,Attack,right,174,Real Madrid,418
207929,Dele Alli,England,Attacking Midfield,Midfield,right,188,Besiktas JK,114
462250,Joao Felix,Portugal,Second Striker,Attack,right,181,Chelsea FC,631
68863,Mauro Icardi,Argentina,Centre-Forward,Attack,right,181,Galatasaray,141
241641,Bernardo Silva,Portugal,Attacking Midfield,Midfield,left,173,Manchester City,281
225083,N'Golo Kante,France,Defensive Midfield,Midfield,right,171,Chelsea FC,631
122153,Paul Pogba,France,Central Midfield,Midfield,both,191,Juventus FC,506
69633,Christian Eriksen,Denmark,Central Midfield,Midfield,right,182,Manchester United,985
369081,Federico Valverde,Uruguay,Central Midfield,Midfield,right,182,Real Madrid,418
